jugador,equipo,minutos,gf_campo,gc_campo,gf_equipo_total,gc_equipo_total,partidos_equipo,puntos_equipo,plus_minus,plus_minus_90,tiros,cruces,intercepciones,tackles_ganados
Pablo Maffeo,Mallorca,2662,37,41,47,57,25,24,-4,-0.14,7,85,33,34
Arnau Martínez,Girona,2666,34,35,39,55,25,30,-1,-0.03,19,50,37,39
